,datestring,average_exhaustion,average_sA,average_percent_extracted_per_point,pB,predicted,error
2265,20090812,47.8366597067539,0.23659969806940034,0.6756756756756739,1.556,1.349003409937402,-0.20699659006259807
2266,20090813,45.127344492541475,0.23986850415585356,0.7092198581560287,1.324,1.287290144722446,-0.03670985527755399
2267,20090814,46.25091039465909,0.23738160169340305,0.6493506493506489,1.545,1.3144740644866533,-0.23052593551334666
2268,20090815,47.27649324024448,0.23879047210356485,0.6578947368421053,1.5119999999999998,1.3334095113077642,-0.1785904886922356
2269,20090816,45.022368078340676,0.2407658274312973,0.6172839506172839,1.077,1.2827991068338442,0.20579910683384428
2270,20090817,44.291179107125785,0.23652462154640386,0.657894736842105,1.4269999999999998,1.275305012333382,-0.15169498766661782
2271,20090818,44.899604807280454,0.2370750212466601,0.5988023952095801,1.457,1.2865110460320555,-0.1704889539679446
2272,20090819,45.49629808225482,0.2367286516557412,0.5681818181818183,1.5719999999999998,1.2992639495104703,-0.27273605048952954
2273,20090820,37.06336978514051,0.23916857710892026,1.063829787234042,1.3869999999999998,1.1238099735614049,-0.2631900264385949
2274,20090825,47.226143335855255,0.2361108103825559,0.6944444444444446,1.225,1.337318089802093,0.11231808980209301
2275,20090826,45.01478097209196,0.2371038226724243,0.578034682080926,1.499,1.2886852257865793,-0.21031477421342082
2276,20090827,46.45938903711668,0.23721894003547825,0.6097560975609758,1.556,1.3187664517304962,-0.23723354826950382
2277,20090828,48.611402318346634,0.23590614293904336,0.6993006993006989,1.6369999999999998,1.3665024776835204,-0.2704975223164794
2278,20090829,48.23398882118991,0.2350302878024782,0.5714285714285714,1.508,1.3591378746120695,-0.14886212538793053
2279,20090830,45.84443050324697,0.23639851967557435,0.6097560975609768,1.671,1.3074118567187782,-0.3635881432812218
2280,20090831,47.377875954254755,0.23550415612242284,0.6024096385542161,1.473,1.3407749614508826,-0.1322250385491175
2281,20090901,46.02561377317344,0.2316301732010278,0.6134969325153372,1.602,1.3194944238482138,-0.2825055761517863
2282,20090902,44.7635165852359,0.2325696748087973,0.6172839506172838,1.714,1.2916631256865765,-0.4223368743134235
2283,20090903,39.89462956633197,0.2375131303167148,0.6896551724137925,1.71,1.1824750993882365,-0.5275249006117635
2284,20090908,46.93573461140648,0.2315043929381632,0.6711409395973149,1.508,1.3390977931017485,-0.16890220689825153
2285,20090909,45.74765880896509,0.23797027834509504,0.5714285714285707,1.711,1.302356583156968,-0.4086434168430322
2286,20090910,46.23321021998908,0.2286776764032115,0.6711409395973154,1.329,1.3294099828307564,0.00040998283075643904
2287,20090911,44.16961199132157,0.2286064268892837,0.6060606060606053,1.356,1.2861162561678792,-0.06988374383212093
2288,20090912,45.49504990837802,0.23485160890944104,0.6493506493506492,1.395,1.3031621407863034,-0.09183785921369658
2289,20090913,48.574888680537406,0.2346257771182628,0.5376344086021506,1.334,1.366649912142691,0.03264991214269086
2290,20090914,47.0187410304907,0.2311743255967179,0.581395348837208,1.514,1.3406643758567691,-0.1733356241432309
2291,20090915,48.60863306230849,0.235653186471184,0.6666666666666661,1.4480000000000002,1.3666183114006496,-0.08138168859935058
2292,20090916,48.55945341491878,0.2396511457985217,0.6134969325153371,1.504,1.35821469743497,-0.14578530256502997
2293,20090922,47.62838890759879,0.2348258026035121,1.0309278350515458,1.389,1.3506557401387473,-0.03834425986125267
2294,20090923,47.79076913939045,0.2378650999884372,1.0309278350515465,1.444,1.3487485929971244,-0.0952514070028756
2295,20090924,45.490995899990075,0.2344235233795366,0.6711409395973158,1.221,1.303999586173873,0.08299958617387282
2296,20090925,50.55770972844913,0.22763036318850735,1.0416666666666672,1.413,1.4241263571403686,0.011126357140368581
2297,20090926,49.72787241894686,0.23557134373577698,0.6802721088435381,1.598,1.3901320780557795,-0.20786792194422055
2298,20090927,46.413074735733865,0.23081267768117855,0.6666666666666665,1.347,1.3294012240310589,-0.017598775968941105
2299,20090928,49.49774385676942,0.2325605539175388,0.9615384615384606,1.51,1.392876134289283,-0.11712386571071698
2300,20090929,43.22351214096608,0.2384973357234977,0.7575757575757596,1.366,1.2505011509257975,-0.1154988490742026
2301,20090930,46.229287518126995,0.23985736422947584,0.8771929824561411,1.499,1.3115808339692716,-0.1874191660307285
2302,20091001,44.370757273019706,0.22647034290038046,0.7692307692307707,1.257,1.295339779046789,0.0383397790467892
2303,20091006,43.44576709636257,0.23255705933488505,0.5714285714285721,1.379,1.2639249040249523,-0.11507509597504773
2304,20091007,40.97274057421743,0.23034040933086894,0.5952380952380943,1.4680000000000002,1.2165757269148665,-0.2514242730851337
2305,20091008,45.12869466149853,0.22784904298831585,0.6369426751592355,1.361,1.3076164878139016,-0.05338351218609838
2306,20091009,44.36808476097032,0.23017743740727936,0.6134969325153373,1.357,1.2875715082555066,-0.06942849174449339
2307,20091010,47.07857660659589,0.2311170877528796,0.5882352941176465,0.942,1.3420631734540112,0.4000631734540112
2308,20091011,43.60928853798322,0.2260493486366973,0.5128205128205134,1.362,1.2781545386091966,-0.08384546139080351
2309,20091012,44.266765440658254,0.2291171099048081,0.5464480874316939,1.279,1.2867615708996085,0.007761570899608605
2310,20091013,38.41673336766677,0.22993398872899426,0.5780346820809251,1.482,1.1640215575370059,-0.3179784424629941
2311,20091014,45.48059984469285,0.22854760647650585,0.6024096385542171,0.0,1.3134342508355636,1.3134342508355636
2312,20091015,44.629809514265744,0.23478844940691426,0.6211180124223595,1.35,1.2850597675354265,-0.06494023246457359
2313,20091020,44.45637803686369,0.22120949270825327,0.7352941176470575,1.632,1.3059848601040664,-0.32601513989593345
2314,20091021,41.00746806390464,0.22346702036906466,0.6172839506172842,1.418,1.2294221293248269,-0.18857787067517306
2315,20091022,43.245549864053324,0.22950066508019645,0.5376344086021505,1.229,1.2647997410999006,0.03579974109990047
2316,20091023,39.26642173368521,0.23932053958046084,0.5128205128205129,1.342,1.1648358803127947,-0.17716411968720536
2317,20091024,40.764828362431146,0.23341969987607425,0.4651162790697682,1.212,1.2058420213882761,-0.006157978611723847
2318,20091025,43.67328222149235,0.227822753614792,0.4878048780487804,1.3,1.2761985285165856,-0.023801471483414494
2319,20091026,39.36628680116469,0.23383565971044415,0.444444444444444,1.369,1.175885381269371,-0.19311461873062896
2320,20091027,44.237918402294646,0.2187324730054492,0.456621004566211,1.31,1.3034761177383907,-0.006523882261609382
2321,20091028,40.04081052158686,0.2300195257633004,0.5102040816326523,1.002,1.1970719043738807,0.19507190437388067
2322,20091029,31.598440137413462,0.23642367936929334,1.2987012987012994,1.334,1.0169214250375977,-0.3170785749624023
2323,20091103,37.91359548238186,0.2308802795169053,0.450450450450451,1.259,1.150879844938042,-0.10812015506195793
2324,20091104,36.93882553066443,0.22190719094362596,0.4444444444444443,1.26,1.146166510015679,-0.11383348998432097
2325,20091105,37.18924884105468,0.2288824769773848,0.4310344827586211,1.3730000000000002,1.139139610219976,-0.2338603897800242
2326,20091106,34.532489519405196,0.22410680151326015,0.42194092827004176,1.144,1.0921507796226904,-0.051849220377309546
2327,20091107,40.54622759798648,0.2274673887499375,0.4484304932735425,1.414,1.2115070009828495,-0.20249299901715045
2328,20091108,39.98358886121106,0.23563693783339565,0.5405405405405403,1.3430000000000002,1.186368011102942,-0.1566319888970582
2329,20091109,35.63078810634165,0.21737109122334014,0.5780346820809233,1.043,1.127955040642219,0.08495504064221904
2330,20091110,38.25174508239194,0.22963521314679936,0.4629629629629637,1.364,1.1601732217367249,-0.20382677826327522
2331,20091111,39.34922577868305,0.2298261094969095,0.446428571428572,1.231,1.1825149478835364,-0.0484850521164637
2332,20091112,37.49952344472611,0.2278208227775428,0.4424778761061938,1.348,1.147526213846511,-0.2004737861534891
2333,20091117,38.647793763081076,0.2226408965148714,0.5347593582887689,1.164,1.1811447609307182,0.01714476093071826
2334,20091118,34.19802548282451,0.2226599216549205,0.4291845493562244,1.25,1.0877733265049696,-0.1622266734950304
2335,20091119,36.17846332934803,0.23049726094387804,0.4329004329004344,1.254,1.115341984905489,-0.13865801509451092
2336,20091120,37.343804293819254,0.22633290007794035,0.4464285714285717,1.3130000000000002,1.1469079835858533,-0.16609201641414684
2337,20091121,34.029165063506056,0.2269699004608269,0.4310344827586202,1.357,1.0767890342455793,-0.2802109657544207
2338,20091122,37.66335337089754,0.21842136941067808,0.4385964912280695,1.241,1.1672340739408391,-0.07376592605916099
2339,20091123,38.012217841389365,0.2221324900155549,0.4716981132075475,1.475,1.168305034516341,-0.30669496548365904
2340,20091124,29.705105661632647,0.21270763230619588,0.4854368932038837,1.284,1.0121537357192025,-0.2718462642807975
2341,20091125,44.61073682021613,0.2289322664006515,0.6097560975609758,1.2990000000000002,1.2947478062131887,-0.004252193786811409
2342,20091201,32.517179600642336,0.2282064649349637,0.4566210045662102,1.265,1.0434260241103346,-0.22157397588966532
2343,20091202,32.347685200123856,0.21806715472577776,0.4385964912280709,1.199,1.0573769629428764,-0.14162303705712365
2344,20091203,31.727547679251646,0.22636626370740914,0.4587155963302746,1.207,1.0302305870085697,-0.17676941299143034
2345,20091204,35.27602033160921,0.21999437841064576,0.4545454545454556,1.1909999999999998,1.115015880288783,-0.07598411971121677
2346,20091205,40.96405936580133,0.2253113484409421,0.4629629629629632,1.297,1.2240559729852731,-0.0729440270147268
2347,20091206,40.668421449799574,0.22512497840885384,0.5128205128205128,1.617,1.2186424823997362,-0.39835751760026383
2348,20091207,37.353195056385964,0.2199268215384189,0.42553191489361614,1.497,1.1580654131269643,-0.3389345868730358
2349,20091208,36.348830264117396,0.2232160592607136,0.4385964912280714,1.264,1.1315826484791458,-0.1324173515208542
2350,20091209,35.7385971063675,0.2317978788739734,0.4901960784313716,1.405,1.1044076059159706,-0.3005923940840294
2351,20091210,36.80259271364443,0.21887648148685326,0.5780346820809249,1.334,1.1496919016196547,-0.18430809838034534
2352,20091215,38.413100284796684,0.22452914510263772,0.5681818181818182,1.492,1.1732584244355588,-0.31874157556444116
2353,20091216,38.55762068729381,0.22192298277648376,0.7142857142857143,1.491,1.1819828451984207,-0.30901715480157943
2354,20091217,38.19597675865544,0.22316592404811306,0.4716981132075469,1.456,1.1703280559123335,-0.2856719440876665
