zone,year_month,datestring
623,201809,254
623,201810,315
623,201811,390
623,201812,284
623,201901,212
623,201902,223
623,201903,266
623,201904,329
623,201905,358
623,201906,322
623,201907,433
623,201908,374
623,201909,334
623,201910,336
623,201911,220
623,201912,237
623,202001,237
623,202002,200
623,202003,216
623,202004,57
625,201310,3
625,201311,1
625,201401,3
625,201402,9
625,201403,7
625,201404,9
625,201405,11
625,201406,7
625,201407,25
625,201408,29
625,201409,29
625,201410,28
625,201411,32
625,201412,150
625,201501,120
625,201502,149
625,201503,135
625,201504,124
625,201505,283
625,201506,108
625,201507,137
625,201508,164
625,201509,221
625,201510,213
625,201511,257
625,201512,317
625,201601,251
625,201602,149
625,201603,94
625,201604,182
625,201605,156
625,201606,218
625,201607,234
625,201608,260
625,201609,240
625,201610,297
625,201611,225
625,201612,325
625,201701,294
625,201702,274
625,201703,254
625,201704,175
625,201705,249
625,201706,337
625,201707,277
625,201708,276
625,201709,235
625,201710,259
625,201711,255
625,201712,226
625,201801,257
625,201802,277
625,201803,252
625,201804,231
625,201805,207
625,201806,296
625,201807,260
625,201808,263
625,201809,217
625,201810,88
625,201811,268
625,201812,268
625,201901,333
625,201902,201
625,201903,186
625,201904,229
625,201905,300
625,201906,158
625,201907,220
625,201908,270
625,201909,241
625,201910,351
625,201911,168
625,201912,139
625,202001,255
625,202002,237
625,202003,270
625,202004,69
627,201311,1
627,201401,12
627,201402,16
627,201403,5
627,201404,10
627,201405,15
627,201407,29
627,201408,34
627,201409,15
627,201410,36
627,201411,51
627,201412,187
627,201501,152
627,201502,188
627,201503,122
627,201504,172
627,201505,236
627,201506,11
627,201507,65
627,201508,148
627,201509,208
627,201510,185
627,201511,188
627,201512,286
627,201601,196
627,201602,136
627,201603,133
627,201604,72
627,201605,132
627,201606,232
627,201607,260
627,201608,215
627,201609,236
627,201610,231
627,201611,255
627,201612,240
627,201701,255
627,201702,168
627,201703,316
627,201704,302
627,201705,272
627,201706,260
627,201707,200
627,201708,286
627,201709,252
627,201710,268
627,201711,289
627,201712,203
627,201801,189
627,201802,211
627,201803,269
627,201804,207
627,201805,236
627,201806,260
627,201807,160
627,201808,193
627,201809,181
627,201810,187
627,201811,215
627,201812,223
627,201901,286
627,201902,240
627,201903,235
627,201904,236
627,201905,362
627,201906,216
627,201907,265
627,201908,252
627,201909,264
627,201910,231
627,201911,142
627,201912,149
627,202001,156
627,202002,144
627,202003,238
627,202004,78
631,200106,42
631,200107,37
631,200108,116
631,200109,131
631,200110,79
631,200111,54
631,200112,42
631,200201,71
631,200202,70
631,200203,16
631,200204,27
631,200205,42
631,200206,27
631,200207,49
631,200208,55
631,200209,60
631,200210,42
631,201307,6
631,201308,25
631,201310,1
631,201401,5
631,201402,5
631,201403,2
631,201404,1
631,201405,7
631,201407,14
631,201408,19
631,201409,6
631,201410,20
631,201411,29
631,201412,87
631,201501,67
631,201502,78
631,201503,25
631,201504,60
631,201505,92
631,201506,36
631,201507,62
631,201508,48
631,201509,71
631,201510,117
631,201511,100
631,201512,210
631,201601,109
631,201602,85
631,201603,32
631,201604,24
631,201605,65
631,201606,8
631,201607,1
631,201610,188
631,201611,103
631,201612,141
631,201701,148
631,201702,150
631,201703,122
631,201704,114
631,201705,119
631,201706,138
631,201707,81
631,201708,65
631,201709,70
631,201710,116
631,201711,49
631,201712,47
631,201801,35
631,201802,67
631,201803,41
631,201804,6
631,201805,25
631,201806,5
631,201807,35
631,201808,51
631,201809,46
631,201810,24
631,201811,40
631,201812,38
631,201908,11
631,201910,36
631,201911,40
633,200106,79
633,200107,75
633,200108,190
633,200109,227
633,200110,169
633,200111,226
633,200112,150
633,200201,140
633,200202,141
633,200203,42
633,200204,87
633,200205,95
633,200206,88
633,200207,123
633,200208,145
633,200209,131
633,200210,115
633,200211,34
633,200904,6
633,200905,1
633,200906,4
633,201506,14
633,201507,28
633,201508,41
635,200106,104
635,200107,92
635,200108,224
635,200109,301
635,200110,336
635,200111,339
635,200112,206
635,200201,206
635,200202,163
635,200203,163
635,200204,100
635,200205,204
635,200206,191
635,200207,165
635,200208,148
635,200209,162
635,200210,160
635,200211,154
635,200212,94
635,200301,7
635,200702,7
635,200703,84
635,200704,191
635,200705,362
635,200706,209
635,200707,88
635,200708,200
635,200709,280
635,200710,112
637,200106,83
637,200107,64
637,200108,152
637,200109,278
637,200110,284
637,200111,271
637,200112,202
637,200201,250
637,200202,194
637,200203,165
637,200204,105
637,200205,190
637,200206,189
637,200207,149
637,200208,171
637,200209,171
637,200210,158
637,200211,137
637,200212,134
637,200301,90
637,200302,8
641,200106,117
641,200107,98
641,200108,172
641,200109,317
641,200110,341
641,200111,404
641,200112,329
641,200201,400
641,200202,272
641,200203,358
641,200204,379
641,200205,332
641,200206,328
641,200207,337
641,200208,253
641,200209,203
641,200210,205
641,200211,165
641,200212,136
641,200301,85
641,200302,56
641,200303,18
641,200304,17
641,200505,27
641,200506,299
641,200507,110
641,200508,121
641,200509,331
641,200510,288
641,200511,87
641,200512,74
641,200601,31
643,200106,86
643,200107,64
643,200108,47
643,200109,162
643,200110,365
643,200111,399
643,200112,340
643,200201,409
643,200202,294
643,200203,388
643,200204,431
643,200205,422
643,200206,373
643,200207,414
643,200208,343
643,200209,259
643,200210,219
643,200211,204
643,200212,185
643,200301,134
643,200302,110
643,200303,82
643,200304,82
643,200305,44
643,200306,41
643,200307,15
643,200308,12
643,200309,18
643,200407,52
643,200408,10
643,200410,33
643,200411,82
643,200412,65
643,200501,46
643,200502,125
643,200503,144
643,200504,94
643,200505,65
643,200506,136
643,200507,46
643,200508,112
643,200509,36
645,200106,35
645,200107,28
645,200108,28
645,200109,46
645,200110,174
645,200111,101
645,200112,163
645,200201,144
645,200202,148
645,200203,170
645,200204,181
645,200205,188
645,200206,241
645,200207,264
645,200208,188
645,200209,260
645,200210,236
645,200211,253
645,200212,278
645,200301,258
645,200302,266
645,200303,211
645,200304,229
645,200305,221
645,200306,183
645,200307,173
645,200308,169
645,200309,141
645,200310,109
645,200311,76
645,200312,134
645,200401,40
645,200402,46
645,200403,10
645,200405,7
645,200406,28
645,200407,41
645,200408,31
645,200409,193
645,200410,194
645,200411,274
645,200412,259
645,200501,107
645,200502,108
645,200503,144
645,200504,101
645,200505,87
645,200506,10
647,200106,12
647,200107,13
647,200108,11
647,200109,5
647,200110,7
647,200111,8
647,200112,13
647,200201,2
647,200203,9
647,200204,24
647,200205,83
647,200206,83
647,200207,102
647,200208,120
647,200209,152
647,200210,123
647,200211,251
647,200212,258
647,200301,343
647,200302,339
647,200303,290
647,200304,325
647,200305,368
647,200306,269
647,200307,254
647,200308,314
647,200309,268
647,200310,172
647,200311,114
647,200312,97
647,200401,80
647,200402,69
647,200403,82
647,200404,40
647,200405,62
647,200406,57
647,200408,2
647,200409,3
647,200410,2
647,200411,1
647,200502,42
647,200503,88
651,200111,1
651,200112,1
