year_month,average_exhaustion,average_sA,number_extract_points,average_pA,Predicted_pA,Error,datetime,cA,production,cA_per_prod,Predicted_cA,cA_Error
200901,43.54,0.241,177.0,0.248,0.2470636073070429,-0.000936392692957061,2009-01-01,50533.0,630494,0.080148265,0.0858768855303937,0.005728620530393705
200902,40.44,0.237,183.0,0.246,0.24414758401608685,-0.0018524159839131968,2009-02-01,37659.0,412244,0.084577334,0.08576637868990923,0.0011890446899092272
200903,40.62,0.242,169.0,0.241,0.2488045859279501,0.007804585927950053,2009-03-01,47330.0,464256,0.08992869199999999,0.08431257803332019,-0.005616113966679798
200904,43.93,0.24,165.0,0.275,0.24601553563589806,-0.028984464364101983,2009-04-01,45100.0,483255,0.095670911,0.09152179789784551,-0.004149113102154489
200905,42.61,0.232,158.0,0.257,0.2388469728821108,-0.018153027117889187,2009-05-01,31538.0,289430,0.10022143300000001,0.08749022258244525,-0.012731210417554761
200906,42.88,0.234,160.0,0.258,0.24065554614644066,-0.017344453853559372,2009-06-01,41518.0,401985,0.10058654800000001,0.08773898428910391,-0.012847563710896098
200907,42.83,0.24,164.0,0.25,0.2463167995270974,-0.003683200472902604,2009-07-01,44397.0,518940,0.097040125,0.08605436120818337,-0.010985763791816636
200908,45.33,0.243,152.0,0.258,0.2484558886489885,-0.009544111351011549,2009-08-01,54317.0,667760,0.088269229,0.08753023243186875,-0.000738996568131256
200909,46.52,0.244,141.0,0.266,0.24907123582186555,-0.01692876417813446,2009-09-01,54811.0,595958,0.086121398,0.08922876947147773,0.0031073714714777295
200910,42.35,0.241,174.0,0.25,0.2473895200620693,-0.0026104799379306765,2009-10-01,46383.0,497380,0.088303433,0.08628996877951858,-0.0020134642204814174
200911,37.27,0.242,215.0,0.23,0.2497220714147885,0.019722071414788458,2009-11-01,33660.0,405457,0.08997494699999999,0.08394138964044881,-0.0060335573595511754
200912,35.62,0.243,201.0,0.223,0.2511152271794865,0.028115227179486474,2009-12-01,48999.0,610543,0.085267415,0.08213334826129663,-0.003134066738703367
201001,30.63,0.238,209.0,0.229,0.2477755701009596,0.018775570100959597,2010-01-01,49030.0,772139,0.07364584099999999,0.08380547282999559,0.010159631829995602
201002,30.1,0.238,212.0,0.227,0.24792072452126626,0.020920724521266254,2010-02-01,63764.0,719335,0.076970358,0.08360035842010743,0.006630000420107432
201003,28.68,0.24,203.0,0.234,0.250192148672985,0.01619214867298502,2010-03-01,57923.0,808968,0.074210521,0.08451543154836663,0.01030491054836663
201004,36.45,0.234,162.0,0.259,0.242416570528638,-0.016583429471362016,2010-04-01,81781.0,753638,0.08916444400000001,0.0881837987385749,-0.000980645261425106
201005,30.54,0.237,188.0,0.253,0.2468589590368808,-0.006141040963119238,2010-05-01,65177.0,738229,0.089046368,0.08775804590287947,-0.0012883220971205284
201006,31.46,0.239,189.0,0.245,0.2484895127291413,0.003489512729141331,2010-06-01,70666.0,782294,0.095694192,0.08607253448711091,-0.009621657512889084
