region_zone,year_month,zone_total_extracted,zone_reserves,zone_percent_extracted_total,ep_sA_reserves,zone_exhaustion,zone_avg_sA
rUP91,201910,5077.0,438940.0,8.795231292920517,104553.834,1.1566501116325694,0.23819618626691574
rUP91,201912,292.0,219360.0,1.7744287797763736,49036.46,0.13311451495258936,0.22354330780452225
rUP91,202001,1161.0,329080.0,3.616368958325823,71551.004,0.35280175033426525,0.21742738543819132
rUP91,202002,8465.0,548580.0,13.640738993775715,124393.802,1.5430748477888367,0.22675599183346093
rUP91,202003,27661.0,1865490.0,5.60503346056266,422120.72500000003,1.4827739628730252,0.2262787390980386
rUP91,202004,23965.0,1207170.0,4.517139261629353,280333.215,1.9852216340697664,0.23222347722358908
rUP93,201909,568.0,307494.0,3.2248097723840528,53723.957912136,0.18471905142864578,0.1747154673331382
rUP93,201910,4646.0,307494.0,12.598035166556862,53723.957912136,1.5109237903829018,0.1747154673331382
rUP93,202001,1155.0,439650.0,3.8113587982496346,79972.497,0.26270897304674173,0.18190036847492325
rUP93,202002,17610.0,856914.0,32.541113549811826,150753.215912136,2.055048698002367,0.17592572406581755
rUP93,202003,42477.0,1702655.0,4.9251819112844455,302233.23278034,2.4947508450038325,0.17750703036160584
rUP93,202004,30157.0,944488.0,2.650646259690219,165211.805824272,3.192946866450394,0.17492208034858253
rVP67,200711,372.0,197802.0,0.7784084264104089,30351.617912088004,0.18806685473352142,0.153444444
rVP67,200801,6463.0,1379154.0,10.299969772044578,224147.27991208804,0.4686206181470669,0.16252520016770283
rVP67,200808,7125.0,3385923.0,10.468937236262075,596891.0760905931,0.2104300658934063,0.1762860750497259
rVP67,200809,69535.0,5590324.0,10.330305859436733,931901.5570982242,1.2438456161038252,0.16669902443905293
rVP67,200810,118568.0,6240310.0,13.505572094094237,1043124.7442088282,1.9000338124227805,0.16715912257705598
rVP67,200811,53307.0,1774758.0,3.8336421325260064,284850.515736264,3.0036207753395114,0.1605010461912351
rVP67,200812,124931.0,3831798.0,10.294559168330762,617115.4213966532,3.2603754164494054,0.1610511361498318
rVP67,200901,206872.0,8231590.0,19.286043637965925,1425128.3670784738,2.513147520709851,0.17312917274529876
rVP67,200902,241211.0,10951811.0,26.211265244309928,1870890.6439178153,2.2024759192794687,0.17082933990714552
rVP67,200903,303021.0,13335881.0,40.39241874420248,2436297.2569284514,2.272223334926279,0.18268738727710987
rVP67,200904,8387.0,2877607.0,12.324803684341365,606563.14460487,0.29145745058307126,0.2107873467797618
rVP67,200905,40081.0,3714952.0,7.591743398024816,699774.0983555332,1.0789103062435261,0.1883669286589795
rVP67,200906,65983.0,7964266.0,33.9849278811573,1534777.8708955315,0.8284881494415179,0.19270801237622293
rVP67,200907,283196.0,22940482.0,27.7575769193613,4567283.581431126,1.2344814725340123,0.1990927471110296
rVP67,200908,215430.0,2664867.0,9.661477244085177,421432.79634065996,8.084080743992102,0.15814402607734643
rVP67,200909,373638.0,6398308.0,17.86992742822393,1047937.8854277399,5.8396376041916085,0.16378359488598235
rVP67,200910,675708.0,17976703.0,39.41483759622587,3222486.694636548,3.758798262395502,0.17925904959527605
rVP67,200911,1444162.0,54298400.0,78.692011360533,10484522.134335753,2.6596768965568045,0.1930908117796427
rVP67,200912,1449085.0,43901195.0,66.50855702532672,8461906.148260552,3.3007871425823376,0.19274887957515854
rVP67,201001,1812979.0,46061528.0,95.33325973706741,8880181.451248063,3.9359940469191557,0.192789554251176
rVP67,201002,3051996.0,65521458.0,146.48027594419273,12636372.578658162,4.658009899596557,0.1928585377123043
rVP67,201003,4011562.0,82619874.0,167.3909031963239,16138316.658126866,4.855444345025266,0.1953321383439397
rVP67,201004,392148.0,10076214.0,37.18813362046573,1960285.448252956,3.8918188915003196,0.19454583321205324
rVP67,201005,5430049.0,88761597.0,208.50528280504918,17361852.566923104,6.11756568552952,0.19560094853772295
rVP67,201006,6934449.0,88500874.0,249.655503489804,17330945.577659342,7.835458212536975,0.19582795959347635
rVP67,201007,8179335.0,81771696.0,218.03898821861642,15976467.021776648,10.00264810454708,0.19537893676287021
rVP67,201008,8871005.0,75959691.0,137.4053248695564,14796365.754421564,11.678569097918,0.19479233735194584
rVP67,201009,9247064.0,81050932.0,132.32493137085345,15781150.803997029,11.408954557117246,0.19470659268911342
rVP67,201010,8849847.0,70417116.0,93.29263413968235,13703547.962343678,12.5677498635417,0.1946053564923573
rVP67,201011,8224619.0,58645944.0,109.3140059809055,11373419.379787989,14.02419065843667,0.1939336057032007
rVP67,201012,10259654.0,75330735.0,108.3560376791099,14614480.300875504,13.619479486029176,0.1940042175464703
rVP67,201101,10881052.0,78664209.0,139.7098137973846,15214119.80817305,13.832277904173676,0.19340587036441248
rVP67,201102,9697319.0,63364726.0,93.0278873543096,12265123.737321168,15.303970540328699,0.19356390395061707
rVP67,201103,14226852.0,85817435.0,237.26420950223553,16557607.792143062,16.578043843887897,0.19293990541832276
rVP67,201104,11554024.0,64923758.0,184.65746076697098,12470270.53782291,17.796295772034636,0.19207561179411256
rVP67,201105,20562133.0,104619593.0,312.91632214764945,20155209.48153218,19.654189440404345,0.19265234076691715
rVP67,201106,21975236.0,109168852.0,296.2727795144378,20880997.15823863,20.129584215101943,0.19127248089261423
rVP67,201107,25867506.0,116677864.0,277.38556079797917,22343758.472116306,22.170020184805576,0.1914995501813121
rVP67,201108,24583954.0,104984584.0,266.06024601394336,20013736.41860653,23.4167275454461,0.19063500236002776
