datetime,average_exhaustion,average_sA,number_extract_points,pA
2002-01-02,23.489289698619316,0.2175056821958624,86.0,0.2098
2002-01-03,23.50423876109919,0.21902944368734964,93.0,0.213
2002-01-04,24.692335060128002,0.2189394852276252,89.0,0.2164
2002-01-07,22.95955809786809,0.2173011096841816,75.0,0.2162
2002-01-08,24.757384256617065,0.21799007695619255,85.0,0.2206
2002-01-09,27.453357192996286,0.21933433450246712,73.0,0.217
2002-01-10,22.56819892331095,0.21845656709939207,89.0,0.2104
2002-01-11,20.804869851510784,0.21677490139176345,58.0,0.2144
2002-01-14,18.87736094574842,0.22875874490177764,44.0,0.2144
2002-01-15,25.50416184906396,0.21888603736880102,74.0,0.2114
2002-01-16,25.4538393841444,0.2186964699664916,78.0,0.2172
2002-01-17,24.685644679091485,0.21643175218943653,84.0,0.21600000000000005
2002-01-18,30.9185618219743,0.21460791800418696,46.0,0.218
2002-01-21,30.44108344927011,0.20752269998357173,36.0,0.2176
2002-01-22,28.53803777890689,0.21372677476447985,75.0,0.221
2002-01-23,26.721500076111887,0.21862366345739428,76.0,0.2232
2002-01-24,24.344790080012395,0.21992674037902504,87.0,0.2316
2002-01-25,24.918558503574467,0.21953908653127824,73.0,0.2268
2002-01-28,29.186682099098643,0.22620745372493256,54.0,0.2252
2002-01-29,27.653149537954196,0.2223695250778868,79.0,0.2242
2002-01-30,25.846786778331946,0.2225320901279868,86.0,0.228
2002-01-31,26.886576824648447,0.2241770090722051,82.0,0.2248
2002-02-01,26.79147048527809,0.22065921367221755,80.0,0.2216
2002-02-04,29.457632227209505,0.22818994967382186,45.0,0.22
2002-02-05,32.80301212374983,0.2165292173553639,31.0,0.2202
2002-02-06,33.797742529999645,0.21108538207569813,35.0,0.2076
2002-02-07,35.320646064497225,0.21077161129449576,37.0,0.2058
2002-02-08,30.94721864703069,0.21712638632939776,55.0,0.2042
2002-02-11,34.818603429559396,0.22096663311791,23.0,0.2052
2002-02-12,30.434338750139236,0.22032975604023805,78.0,0.1992
2002-02-13,27.366419859218887,0.22310748891312954,86.0,0.2022
2002-02-14,30.230722271937427,0.2215785373687783,75.0,0.2026
2002-02-15,27.61845087145289,0.2228413746143591,88.0,0.2044
2002-02-18,29.241767358879976,0.21570407523089716,55.0,0.212
2002-02-19,27.25823622197416,0.2265145465240407,88.0,0.2188
2002-02-20,26.832137766974657,0.22454240277839604,77.0,0.2232
2002-02-21,27.958929196858946,0.22458679671012727,75.0,0.225
2002-02-22,28.40543034738456,0.22281536261033436,86.0,0.2302
2002-02-25,28.41118522035519,0.2217675428025707,63.0,0.2278
