datetime,average_exhaustion,average_sA,number_extract_points,pC
2017-08-23,43.19416940798437,0.1852403467417608,111.0,0.001333333
2017-08-24,43.655595099338704,0.18820894527107668,145.0,0.002
2017-08-28,42.78353112192582,0.18982330639618966,150.0,0.001333333
2017-08-29,43.93778400942127,0.1896810653708115,136.0,0.001
2017-09-05,44.898302897036764,0.1933895605298847,149.0,0.001
2017-09-06,43.63570839976262,0.18973605082945494,163.0,0.001
2017-09-07,43.140041014692,0.1901244272728208,129.0,0.002
2017-09-08,43.708641113891716,0.1812778847234288,132.0,0.001333333
2017-09-11,42.391659060469216,0.196739361606462,121.0,0.001
2017-09-12,44.385512445908134,0.1911742429195029,127.0,0.001
2017-09-13,42.89337081925756,0.19077599201868173,126.0,0.001
2017-09-19,43.90375933682465,0.19050168545002885,145.0,0.001333333
2017-09-20,44.452601335945225,0.18622637202899525,150.0,0.001
2017-09-21,43.880281853295976,0.18912858681909628,153.0,0.001
2017-09-25,45.099619006217786,0.1974901166417027,127.0,0.001666667
2017-09-26,45.0208108695365,0.1940456292695568,148.0,0.001333333
2017-10-03,44.47835979614352,0.19363927927159108,117.0,0.002
2017-10-04,43.82831964598215,0.18835006898929596,130.0,0.002
2017-10-05,43.18644945444847,0.1934773706344091,114.0,0.002
2017-10-06,44.76114981739336,0.19516878474861346,110.0,0.002
2017-10-09,43.784548398052436,0.19755854542317275,124.0,0.002
2017-10-10,44.22044723551564,0.1986632750058231,137.0,0.001333333
2017-10-11,44.034008699119084,0.188818178217088,113.0,0.002
2017-10-17,44.51993965639193,0.19492009939319727,129.0,0.001
2017-10-18,46.06580594229406,0.18820421036094148,133.0,0.001
2017-10-19,45.2211132309771,0.18872770067329755,127.0,0.001
2017-10-23,46.427919396933135,0.19664060640525236,135.0,0.001333333
2017-10-24,47.20516213902374,0.1943909686310789,132.0,0.002
2017-10-25,47.72263416817696,0.19310094763806204,109.0,0.002
2017-10-31,45.82204104222122,0.19643842770973316,138.0,0.002
2017-11-01,46.15567762441842,0.19631161874709008,150.0,0.001666667
2017-11-02,46.505603691902074,0.19694049348382334,147.0,0.001666667
2017-11-03,47.341379463340594,0.19159359327457545,138.0,0.001
2017-11-06,47.203481569838075,0.19798385974591176,161.0,0.001
2017-11-07,47.587094243517114,0.19472213568683466,142.0,0.001
2017-11-08,47.56874240131975,0.19311408968910376,138.0,0.002
2017-11-14,46.61925775209014,0.19593572165264966,100.0,0.001666667
2017-11-15,46.671467906635044,0.1874702230797948,109.0,0.002
2017-11-16,46.97772719256795,0.19212428406899834,120.0,0.001333333
2017-11-17,49.33087845225771,0.19227995056921288,143.0,0.0015
2017-11-20,47.27118732035282,0.19330994809902333,124.0,0.001333333
2017-11-21,48.0610845971449,0.19521242404439965,137.0,0.002
2017-11-22,47.30599573238902,0.19613961344486555,128.0,0.002
2017-11-29,81.42609810689585,0.17735009630290974,106.0,0.002
2017-11-30,66.41769950218314,0.17947723795867426,125.0,0.002
2017-12-01,76.31246126502792,0.1742384255696127,120.0,0.002
2017-12-04,73.38944840317137,0.17335079330309527,141.0,0.002
2017-12-05,66.26202272476078,0.17512852514206034,143.0,0.002
2017-12-06,72.73604122076158,0.17730525469501268,137.0,0.002333333
2017-12-12,67.5030043438795,0.17878260736307744,154.0,0.001333333
2017-12-13,72.36635468727269,0.17337712131018154,127.0,0.002333333
2017-12-14,76.77856767709933,0.17122280843520515,115.0,0.001666667
2017-12-15,76.14410148750055,0.16837497685456435,98.0,0.001666667
2017-12-18,79.5618002138808,0.1702855747121328,110.0,0.002
2017-12-19,72.37096160368304,0.1668285568489542,121.0,0.002333333
2017-12-20,72.06105716898306,0.18165625285355594,112.0,0.002333333
2017-12-27,70.35740945798804,0.17504817406628292,120.0,0.001666667
2017-12-28,74.6334299002207,0.17071981170400136,101.0,0.001666667
2018-01-02,68.66839559553175,0.17373203320977745,146.0,0.001333333
2018-01-03,80.50396596406985,0.17743878055887735,108.0,0.002
2018-01-04,78.01705215515092,0.17160725803446994,101.0,0.002
2018-01-10,76.60024954589748,0.17487040552418975,132.0,0.002
2018-01-11,71.45434888221743,0.18154463873269647,134.0,0.001666667
2018-01-12,73.13127665961441,0.17899772413819678,140.0,0.002
2018-01-15,70.81110678791067,0.17698396466906766,140.0,0.002
2018-01-16,78.37004352656788,0.18114023767076476,122.0,0.002
2018-01-17,90.05712958848044,0.17223365954952585,90.0,0.002
2018-01-23,71.63562508783504,0.17910112697236022,76.0,0.001333333
2018-01-24,74.13729329643256,0.17926638604421086,103.0,0.002
2018-01-25,81.82323419382182,0.16853019135556624,132.0,0.002
2018-01-26,87.1555304511708,0.17115277854862238,123.0,0.002
2018-01-29,90.9558700457486,0.17234512763426896,94.0,0.002
2018-01-30,85.0096772300693,0.15750490783938212,110.0,0.002
2018-02-06,58.874279302828896,0.18286752081462054,145.0,0.002
2018-02-07,66.9131050059967,0.1773142652589996,163.0,0.002
2018-02-08,92.89057019269079,0.17547808898760214,124.0,0.002
2018-02-09,100.59426331897821,0.17566572659014085,119.0,0.002
2018-02-12,78.47291760511233,0.1668796485456375,113.0,0.002
2018-02-13,84.13267422742133,0.1702606720389963,139.0,0.002
2018-02-14,76.67871394158132,0.17498842902300918,147.0,0.002
2018-02-20,72.28182276569343,0.17553811986675885,152.0,0.002
2018-02-21,69.41308610127979,0.17471553976616033,143.0,0.002666667
2018-02-22,52.83350957352764,0.1915132377589858,159.0,0.002
2018-02-23,49.885031131939314,0.1832939294790069,170.0,0.002
2018-02-26,48.71196803912302,0.18041668268550431,164.0,0.002
