,datestring,average_exhaustion,average_sA,average_percent_extracted_per_point,pB
2265,20090812,47.8366597067539,0.23659969806940034,0.6756756756756739,1.556
2266,20090813,45.127344492541475,0.23986850415585356,0.7092198581560287,1.324
2267,20090814,46.25091039465909,0.23738160169340305,0.6493506493506489,1.545
2268,20090815,47.27649324024448,0.23879047210356485,0.6578947368421053,1.5119999999999998
2269,20090816,45.022368078340676,0.2407658274312973,0.6172839506172839,1.077
2270,20090817,44.291179107125785,0.23652462154640386,0.657894736842105,1.4269999999999998
2271,20090818,44.899604807280454,0.2370750212466601,0.5988023952095801,1.457
2272,20090819,45.49629808225482,0.2367286516557412,0.5681818181818183,1.5719999999999998
2273,20090820,37.06336978514051,0.23916857710892026,1.063829787234042,1.3869999999999998
2274,20090825,47.226143335855255,0.2361108103825559,0.6944444444444446,1.225
2275,20090826,45.01478097209196,0.2371038226724243,0.578034682080926,1.499
2276,20090827,46.45938903711668,0.23721894003547825,0.6097560975609758,1.556
2277,20090828,48.611402318346634,0.23590614293904336,0.6993006993006989,1.6369999999999998
2278,20090829,48.23398882118991,0.2350302878024782,0.5714285714285714,1.508
2279,20090830,45.84443050324697,0.23639851967557435,0.6097560975609768,1.671
2280,20090831,47.377875954254755,0.23550415612242284,0.6024096385542161,1.473
2281,20090901,46.02561377317344,0.2316301732010278,0.6134969325153372,1.602
2282,20090902,44.7635165852359,0.2325696748087973,0.6172839506172838,1.714
2283,20090903,39.89462956633197,0.2375131303167148,0.6896551724137925,1.71
2284,20090908,46.93573461140648,0.2315043929381632,0.6711409395973149,1.508
2285,20090909,45.74765880896509,0.23797027834509504,0.5714285714285707,1.711
2286,20090910,46.23321021998908,0.2286776764032115,0.6711409395973154,1.329
2287,20090911,44.16961199132157,0.2286064268892837,0.6060606060606053,1.356
2288,20090912,45.49504990837802,0.23485160890944104,0.6493506493506492,1.395
2289,20090913,48.574888680537406,0.2346257771182628,0.5376344086021506,1.334
2290,20090914,47.0187410304907,0.2311743255967179,0.581395348837208,1.514
2291,20090915,48.60863306230849,0.235653186471184,0.6666666666666661,1.4480000000000002
2292,20090916,48.55945341491878,0.2396511457985217,0.6134969325153371,1.504
2293,20090922,47.62838890759879,0.2348258026035121,1.0309278350515458,1.389
2294,20090923,47.79076913939045,0.2378650999884372,1.0309278350515465,1.444
2295,20090924,45.490995899990075,0.2344235233795366,0.6711409395973158,1.221
2296,20090925,50.55770972844913,0.22763036318850735,1.0416666666666672,1.413
2297,20090926,49.72787241894686,0.23557134373577698,0.6802721088435381,1.598
2298,20090927,46.413074735733865,0.23081267768117855,0.6666666666666665,1.347
2299,20090928,49.49774385676942,0.2325605539175388,0.9615384615384606,1.51
2300,20090929,43.22351214096608,0.2384973357234977,0.7575757575757596,1.366
2301,20090930,46.229287518126995,0.23985736422947584,0.8771929824561411,1.499
2302,20091001,44.370757273019706,0.22647034290038046,0.7692307692307707,1.257
2303,20091006,43.44576709636257,0.23255705933488505,0.5714285714285721,1.379
2304,20091007,40.97274057421743,0.23034040933086894,0.5952380952380943,1.4680000000000002
2305,20091008,45.12869466149853,0.22784904298831585,0.6369426751592355,1.361
2306,20091009,44.36808476097032,0.23017743740727936,0.6134969325153373,1.357
2307,20091010,47.07857660659589,0.2311170877528796,0.5882352941176465,0.942
2308,20091011,43.60928853798322,0.2260493486366973,0.5128205128205134,1.362
2309,20091012,44.266765440658254,0.2291171099048081,0.5464480874316939,1.279
2310,20091013,38.41673336766677,0.22993398872899426,0.5780346820809251,1.482
2312,20091015,44.629809514265744,0.23478844940691426,0.6211180124223595,1.35
2313,20091020,44.45637803686369,0.22120949270825327,0.7352941176470575,1.632
2314,20091021,41.00746806390464,0.22346702036906466,0.6172839506172842,1.418
2315,20091022,43.245549864053324,0.22950066508019645,0.5376344086021505,1.229
2316,20091023,39.26642173368521,0.23932053958046084,0.5128205128205129,1.342
2317,20091024,40.764828362431146,0.23341969987607425,0.4651162790697682,1.212
2318,20091025,43.67328222149235,0.227822753614792,0.4878048780487804,1.3
2319,20091026,39.36628680116469,0.23383565971044415,0.444444444444444,1.369
2320,20091027,44.237918402294646,0.2187324730054492,0.456621004566211,1.31
2321,20091028,40.04081052158686,0.2300195257633004,0.5102040816326523,1.002
2322,20091029,31.598440137413462,0.23642367936929334,1.2987012987012994,1.334
2323,20091103,37.91359548238186,0.2308802795169053,0.450450450450451,1.259
2324,20091104,36.93882553066443,0.22190719094362596,0.4444444444444443,1.26
2325,20091105,37.18924884105468,0.2288824769773848,0.4310344827586211,1.3730000000000002
2326,20091106,34.532489519405196,0.22410680151326015,0.42194092827004176,1.144
2327,20091107,40.54622759798648,0.2274673887499375,0.4484304932735425,1.414
2328,20091108,39.98358886121106,0.23563693783339565,0.5405405405405403,1.3430000000000002
2329,20091109,35.63078810634165,0.21737109122334014,0.5780346820809233,1.043
2330,20091110,38.25174508239194,0.22963521314679936,0.4629629629629637,1.364
2331,20091111,39.34922577868305,0.2298261094969095,0.446428571428572,1.231
2332,20091112,37.49952344472611,0.2278208227775428,0.4424778761061938,1.348
2333,20091117,38.647793763081076,0.2226408965148714,0.5347593582887689,1.164
2334,20091118,34.19802548282451,0.2226599216549205,0.4291845493562244,1.25
2335,20091119,36.17846332934803,0.23049726094387804,0.4329004329004344,1.254
2336,20091120,37.343804293819254,0.22633290007794035,0.4464285714285717,1.3130000000000002
2337,20091121,34.029165063506056,0.2269699004608269,0.4310344827586202,1.357
2338,20091122,37.66335337089754,0.21842136941067808,0.4385964912280695,1.241
